county,publication,total_stories,label,label_story_count,label_story_percent
Boone,ABC 17 KMIZ News,1,Emergencies and Public Safety,1,100.0
Boone,Boone County Journal,16,Civic Life,6,37.5
Boone,Boone County Journal,16,Civic information,4,25.0
Boone,Boone County Journal,16,Education,2,12.5
Boone,Boone County Journal,16,Political life,2,12.5
Boone,Boone County Journal,16,Emergencies and Public Safety,1,6.2
Boone,Boone County Journal,16,Sports,1,6.2
Boone,Centralia Fireside Guard,11,Sports,5,45.5
Boone,Centralia Fireside Guard,11,Civic information,3,27.3
Boone,Centralia Fireside Guard,11,Civic Life,2,18.2
Boone,Centralia Fireside Guard,11,Emergencies and Public Safety,1,9.1
Boone,Columbia Daily Tribune,24,Sports,10,41.7
Boone,Columbia Daily Tribune,24,Civic Life,9,37.5
Boone,Columbia Daily Tribune,24,Civic information,3,12.5
Boone,Columbia Daily Tribune,24,Education,1,4.2
Boone,Columbia Daily Tribune,24,Emergencies and Public Safety,1,4.2
Boone,Columbia Missourian,13,Sports,6,46.2
Boone,Columbia Missourian,13,Education,3,23.1
Boone,Columbia Missourian,13,Civic information,2,15.4
Boone,Columbia Missourian,13,Civic Life,1,7.7
Boone,Columbia Missourian,13,Political life,1,7.7
Boone,KBIA,25,Civic information,7,28.0
Boone,KBIA,25,Political life,5,20.0
Boone,KBIA,25,Civic Life,4,16.0
Boone,KBIA,25,Health,3,12.0
Boone,KBIA,25,Emergencies and Public Safety,2,8.0
Boone,KBIA,25,Environment and Planning,2,8.0
Boone,KBIA,25,Education,1,4.0
Boone,KBIA,25,Transportation Systems,1,4.0
Audrain,The Mexico Ledger,24,Civic Life,8,33.3
Audrain,The Mexico Ledger,24,Sports,8,33.3
Audrain,The Mexico Ledger,24,Civic information,4,16.7
Audrain,The Mexico Ledger,24,Emergencies and Public Safety,4,16.7
Audrain,Vandalia Leader,10,Civic Life,3,30.0
Audrain,Vandalia Leader,10,Sports,3,30.0
Audrain,Vandalia Leader,10,Civic information,2,20.0
Audrain,Vandalia Leader,10,Environment and Planning,1,10.0
Audrain,Vandalia Leader,10,Political life,1,10.0
Osage,The Unterrified Democrat,21,Sports,7,33.3
Osage,The Unterrified Democrat,21,Civic information,6,28.6
Osage,The Unterrified Democrat,21,Civic Life,3,14.3
Osage,The Unterrified Democrat,21,Emergencies and Public Safety,2,9.5
Osage,The Unterrified Democrat,21,Education,1,4.8
Osage,The Unterrified Democrat,21,Environment and Planning,1,4.8
Osage,The Unterrified Democrat,21,Political life,1,4.8
